Name,Background,Skin,Shell,Body,Mouth,Eyes,Head,Token_ID
Terrapin #00402,Blue Grey,Leopard Unicorn,Base ,Naked,Scream,Closed ,Angel Halo,149655090059573478406309969070828853738
Terrapin #02081,Blue Grey,Luna,Base ,Leather Jacket - Black,Scream,Monocle - Bored ,Crown - Emerald,138104475409274096489915755792599215187
Terrapin #01064,Baby Yellow,Hellfire,Angel Wings,Naked,Grin,Tweeker ,Spiky  - Black,291936177104363561960935093008909432223
Terrapin #06993,Blue Grey,Zebra,Dragon Wings - Purple,Leather Jacket - Black and White,Scowl,Tweeker ,Dragon Hat - Purple,268756629259171755331033428856075065045
Terrapin #05950,Lilac,Hellfire,Base ,Cloak - Brown,Dopey,Eyepatch - Bored,Spiky  - Black,260877036053466129607612191445132718992
Terrapin #05368,Steel Blue,Lion,Base ,Naked,Grin,Tweeker ,Pirate Bandana,167384811226663997675902161332850226686
Terrapin #05652,Early Light,Black and Yellow,Base ,Suit and Tie,Dopey - Drool,Tweeker ,Mop  Brown,139970409475901401949344729718334041714
Terrapin #03848,Early Light,Lion,Diamond Back,Naked,Snarl - Nose Ring,Monocle - Bored ,Wizard Hat - Brown,270189007404422140376654666283221478703
Terrapin #07508,Neon Pink,Luna,Dragon Wings - Black,Leather Jacket - Black,Moustache,Bored ,Red  with Horns,19911389776910847886417380482774440095
Terrapin #06943,Mint,Common,Base ,Naked,Snarl,Eyepatch - Bored,Rainbow Cap,31030236227646173314346781033480803606
Terrapin #05226,Lilac,Common,Knight Sword - Blue,Leather Jacket - Black,Subtle Smile,Bored ,Spiky  - Blonde,13729702949948159571463103108580540985
Terrapin #08673,Charcoal - Big Moon,Common,Base ,Cloak - Blue,Moustache,Cyborg - Angry Clown,Cap - MIR,288832815680317846061516335640256556661
Terrapin #01122,Purple,Tiger Teddy,Base ,Naked,Grin - 5pm Shadow,Bandana - Blue,Devil Horns,183007053713498559024893248602619349084
Terrapin #08331,Mint,Common,Base ,Kings Robe,Ehh,Monocle - Bored ,Mop  Brown,256454672827685391843774511986157459551
Terrapin #05330,Clouds,Hellfire,Base ,Steam Punk Shirt - Blue,Grin,Eyepatch - Bored,None,337381010612368654450084643191303992790
Terrapin #02488,Mint,Lion,Knight Sword - Brown,Hawaiian Shirt - Watermelon,Dopey,Bored ,Cap - Pylon,251238166209532822520494354460040931736
Terrapin #08507,Midnight Blue - Big Moon,Common,Base ,Naked,Vampire,Cyborg - Angry,Angel Halo,123654223865041468580472593046077019335
Terrapin #07534,Midnight Blue - Big Moon,Leopard Lion,Knight Sword - Blue,Naked,Subtle Smile,Tweeker ,Basketball,239448749123801896652322014360740864978
Terrapin #03720,Blood Red - Big Moon,Lion,Base ,Naked,Snarl,Monocle - Bored ,Spiky  - Brown,184874331827961982783434065477108413189
Terrapin #04290,Lilac,Common, Spikes,Hawaiian Shirt - Watermelon,Dopey,Sunnies - Pink,Mohawk - Black,284464751444854405788238586430039241197
Terrapin #02702,Baby Blue,Luna,Base ,Naked,Snarl - Cigar,Angry Tweeker ,Spiky  - Blonde,83026424284097479059319566705887371484
Terrapin #01581,Blue Grey,Common,Base ,Cloak - Black,Scream,Cyborg - Bored,Spiky  - Blonde,219696165262577944984454063400839281944
Terrapin #08790,Baby Yellow,Rainbow,Base ,Tuxedo,Snarl - Nose Ring,Sunnies - Pink,Spiky  - Brown,40849886170386847930546929421114560421
Terrapin #09737,Midnight Blue - Big Moon,Lion,Base ,Cloak - Blue,Scowl,Tweeker ,Spiky  - Brown,156474091254235151964559536508191729450
Terrapin #06399,Mint,Leopard Lion,Base ,Naked,Dopey - Drool,Eyepatch - Bored,Mohawk - Purple,2821378132065835417988397001610359220
Terrapin #01085,Clouds,Luna,Base ,Naked,Dopey,Cyborg - Bored,Cap - Luna,112162377247314372387437048379137851584
Terrapin #09797,Early Light,Lion,Base ,Steam Punk Shirt - Blue,Scowl,Eyepatch - Tweeker,Afro,78216584620630024185787183831104351930
Terrapin #06807,Blue Grey,Tiger Teddy, Cannon,Cloak - Black,Dopey - Vampire,Cyborg - Bored,None,100306791958163710403523493519694561492
Terrapin #05264,Blue Grey,Common,Base ,Leather Jacket - Black,Dopey,Sunnies - Gun Metal,Cheese Head,172154202146807277148867501684058174074
Terrapin #09349,Baby Yellow,Tiger,Dragon Wings - Purple,Naked,Snarl - Nose Ring,Cyborg - Angry Clown,Spiky  - Blonde,454433857822358527060821042846950820
Terrapin #02933,Blue Grey,Leopard Unicorn,Angel Wings,Hawaiian Shirt - Watermelon,Snarl,Sunnies - Gun Metal,Mohawk - Green,252672311984934279325694010945893755798
Terrapin #05262,Charcoal Full Moon,Tiger Teddy,Base ,Naked,Dopey,Tweeker ,None,206643099366364497187449634672492634523
Terrapin #07601,Purple,Geisha,Base ,Hawaiian Shirt - Watermelon,Ehh,Bored  - Shaved Brow,Devil Horns,34596856035846734495204831761894758146
Terrapin #08872,Baby Blue,Lion,Dragon Wings - Red,Steam Punk Shirt - Red,Ehh,Goggle Steam Punk - Black,Girls  - Pink,131059862256736440049173644559855576293
Terrapin #09536,Purple,Black and Yellow, Spikes,Naked,Ehh,Steam Punk - Bored,Mohawk - Black,98935882501244253104604504954758529366
Terrapin #07374,Blue Grey,Common,Angel Wings,Cloak - Black,Grin,Sunnies - Gun Metal,Mohawk - Purple,204764529038075004850273713636320535277
Terrapin #02282,Early Light,Black and Yellow,Base ,Cloak - Brown,Grin - Cigar,Bored ,Spiky  - Black,153737251067935443478647928532025927482
Terrapin #02298,Purple,Luna,Dragon Wings - Black,Naked,Grin - 5pm Shadow,Tweeker ,Girls  - Pink,157239531868959716385001496481091872303
Terrapin #06659,Baby Blue,Luna,Knight Sword - Green,Naked,Dopey,Tweeker ,None,268763229349006710108610291014960647944
Terrapin #00461,Charcoal - Big Moon,Unicorn,Base ,Naked,Grin - 5pm Shadow,Bandana - Blue,Pirate Bandana,139770117917325700146057085475043997840
Terrapin #00505,Clouds,Geisha,Base ,Naked,Ehh,Anime  - Blue,Cheese Head,156848829241063714667581374455333112999
Terrapin #03551,Lilac,Luna,Steam Punk ,Naked,Snarl - Nose Ring,Bored ,Mohawk - Black,180030398406505470846976215338829739441
Terrapin #01145,Lilac,Tiger Teddy,Base ,Cloak - Black,Bubblegum,Goggle Steam Punk,Mohawk - Purple,155237121543626731284714460163460180553
Terrapin #02412,Purple,Lion,Knight Sword - Green,Cloak - Black,Scream,Cyborg - Bored,Crown - Sapphire,282273964328684956570946323895941340537
Terrapin #01734,Blue Grey,Unicorn,Knight Sword - Green,Hawaiian Shirt - Watermelon,Grin,Tweeker ,Spiky  - Blonde,71559150994828834134179666223408911413
Terrapin #06712,Mint,Geisha,Base ,Hawaiian Shirt - Watermelon,Scowl,Cyborg - Angry,Cap - ANC,141180668795970626904212836332383254950
Terrapin #05239,Clouds,Geisha,Steam Punk ,Naked,Dopey - Drool,Bored ,Mohawk - Black,324047459868319431065060145349089199843
Terrapin #07106,Baby Blue,Luna,Angel Wings,Hawaiian Shirt - Watermelon,Ehh,Steam Punk - Bored,Cap - ANC,189564060449489666795834086351993283433
Terrapin #02518,Mint,Lion, Cannon,Leather Jacket - Black,Snarl - Nose Ring,Eyepatch - Angry,Mohawk - Purple,36335009176652706618473363798606670920
Terrapin #09895,Purple,Common, Spikes,Cloak - Blue,Ehh,Tweeker ,Spiky  - Blonde,336760842526535817417215987707693343133
Terrapin #01046,Clouds,Lion,Base ,Hawaiian Shirt - Watermelon,Dopey - Vampire,Bored ,Terrorpin,309760328450816583522511567717170293113
Terrapin #04040,Purple,Luna,Knight Sword - Green,Naked,Licky Licky,Sunnies - Gold,Ramen,311674423830589394455839173984610637409
Terrapin #07292,Blue Grey,Luna,Base ,Hawaiian Shirt - Watermelon,Grin,Laser ,Angel Halo,199957277685268771053448326467031386057
Terrapin #07220,Charcoal Full Moon,Chocolate,Base ,Naked,Licky Licky,Bored ,Basketball,266898559374913572228564272675710999336
Terrapin #05273,Mint,Common,Base ,Naked,Snarl - Nose Ring,Bored ,Crown - Sapphire,250500002749337011284060836238906141599
Terrapin #07125,Purple,Common,Base ,Leather Jacket - Black and White,Terrorpin,Tweeker ,Rainbow Cap,7104670331399841928083542332492995947
Terrapin #01851,Blue Grey,Monochrome,Knight Sword - Blue,Cloak - Brown,Grin,Bored ,Mohawk - Blue,209039473615683478737067988204542577930
Terrapin #05493,Lilac,Tiger,Base ,Naked,Dopey,Angry Tweeker ,Devil Horns,311052477845777683039278506961750281332
Terrapin #05582,Steel Blue,Luna,Dragon Wings - Purple,Naked,Terrorpin,Bored ,Devil Horns,138424003941066431328626398472143189320
Terrapin #03680,Blue Grey,Leopard Unicorn,Base ,Naked,Vampire,Angry Tweeker ,Rainbow Cap,266010479246927074901299301035488898966
Terrapin #02770,Clouds,Hellfire,Base ,Cloak - Blue,Scowl,Bored  - Shaved Brow,Spiky  - Brown,330600239476242631724094793802496859087
Terrapin #04691,Charcoal - Big Moon,Teddy,Base ,Tuxedo,Snarl - Cigar,Closed ,Mop  Brown,193408001520875891620708352992729824628
Terrapin #03789,Blue Grey,Common, Spikes,Naked,Dopey - Drool,Eyepatch - Tweeker,Mop  Black,62800222388370978281523666465931461189
Terrapin #04519,Blue Grey,Lion,Steam Punk ,Naked,Beard,Tweeker ,Spiky  - Blonde,183173678600308459233549994889760908160
Terrapin #09645,Baby Yellow,Lion,Dragon Scale - Green,Naked,Grin,Bored  - Shaved Brow,Mohawk - Blue,266802265971521313832568235966216871303
Terrapin #09397,Burnt Orange,Teddy, Cannon,Steam Punk Shirt - Red,Grin - 5pm Shadow,Angry Tweeker ,Knight Helmet - Blue,249266803066159338224736648828646632001
Terrapin #00857,Neon Pink,Lion,Dragon Wings - Red,Naked,Snarl,Goggle Steam Punk,Crown - Sapphire,311146898234670052804352768513071873673
Terrapin #05369,Early Light,Common,Dragon Scale - Purple,Leather Jacket - Black,Dopey,Angry Tweeker ,Octopus,101617596880821098400921042490969848972
Terrapin #09954,Early Light,Common,Knight Sword - Green,Cloak - Brown,Snarl - Nose Ring,Closed ,Mohawk - Red,36407890940603520202539650771390691888
Terrapin #02104,Blue Grey,Hellfire,Base ,Orange Shirt,Terrorpin,Tweeker ,Mohawk - Green,154030839337278780765102120118511543941
Terrapin #01167,Steel Blue,Unicorn,Base ,Leather Jacket - Black,Subtle Smile,Bored ,Mohawk - Silver,284159234621538108102924036699702650815
Terrapin #07586,Burnt Orange,Geisha,Steam Punk ,Naked,Dopey,Bored ,Basketball,209904518314699266667941467091260738919
Terrapin #01828,Charcoal Full Moon,Common,Base ,Naked,Grin,Sunnies - Gun Metal,Wizard Hat - Brown,333146369814384401442042874527753499817
Terrapin #06138,Mint,Black and Yellow, Spikes,Naked,Dopey,Bored ,Crown - Emerald,337850617860696900743607735175111337975
Terrapin #00766,Burnt Orange,Lion,Knight Sword - Green,Cloak - Blue,Ehh,Eyepatch - Bored,Mohawk - Silver,22793900142612588447159697262447963985
Terrapin #00340,Early Light,Hellfire,Dragon Scale - Green,Orange Shirt,Beard,Bored ,None,84934312655809696050501349385079393612
Terrapin #04688,Baby Blue,Chocolate,Steam Punk ,Naked,Grin,Cyborg - Tweeker,Mohawk - Black,21084328707809800470732704141802419899
Terrapin #07511,Blue Grey,Teddy,Base ,Orange Shirt,Monster,Monocle - Bored ,Top Hat - Steam Punk,103362405990895568542849752717925987909
Terrapin #03522,Charcoal Full Moon,Monochrome,Base ,Luna Jersey,Grin - 5pm Shadow,Bored ,None,312634146313672791331292454378718154717
Terrapin #09425,Burnt Orange,Hellfire,Base ,Cloak - Black,Ehh,Tweeker ,Mohawk - Black,210628206431565598818152207197748044309
Terrapin #04150,Neon Pink,Leopard Lion,Base ,Cloak - Black,Moustache,Tweeker ,Cap - Pylon,97047418632447965117735346839469081716
Terrapin #09165,Steel Blue,Zebra,Base ,Cloak - Brown,Dopey,Steam Punk - Angry,Cap - MIR,318044871032340559862300306722708474517
Terrapin #00723,Neon Pink,Tiger Teddy, Spikes,Naked,Dopey - Drool,Steam Punk - Tweeker - Purple,Wizard Hat - Brown,29632115178336391015903713337732545971
Terrapin #09147,Purple,Lion, Spikes,Naked,Grin,Tweeker ,Afro,81838385653123312919604912539452098040
Terrapin #00772,Baby Blue,Lion,Dragon Wings - Purple,Cloak - Black,Moustache,Sunnies - Gold,Spiky  - Blonde,331957624049785182954651192520307310966
Terrapin #09443,Baby Blue,Teddy,Base ,Naked,Dopey,Steam Punk - Angry,Cheese Head,153962381879176908691167761038042447571
Terrapin #05824,Steel Blue,Rainbow,Knight Sword - Brown,Naked,Ehh,Tweeker ,Mohawk - Silver,63696481188068413105514585324985470536
Terrapin #02437,Mint,Lion,Base ,Hawaiian Shirt - Watermelon,Moustache,Tweeker ,Cap - Luna,176290230599205388226787861653169492661
Terrapin #04810,Purple,Lion,Base ,Leather Jacket - Black and White,Scowl,Bored ,Mop  Black,35668881005247276048336919299386381721
Terrapin #09698,Mint,Common,Base ,Hawaiian Shirt - Watermelon,Grin,Steam Punk - Angry,Crown - Emerald,271749888716753349584251789454127511650
Terrapin #05379,Early Light,Common,Diamond Back,Naked,Sad,Sunnies - Gun Metal,None,208136261706090255968625563520049156151
Terrapin #01034,Mint,Tiger Teddy,Dragon Wings - Red,Hawaiian Shirt - Pineapple,Vampire,Cyborg - Bored,Mohawk - Black,333739884048968934192925748762053498248
Terrapin #08249,Blue Grey,Tiger Teddy,Base ,Leather Jacket - Black,Dopey - Vampire,Bored ,None,228480256067179263097944500128504549675
Terrapin #08771,Blue Grey,Common, Spikes,Cloak - Blue,Grin,Goggle Steam Punk,Spiky  - Brown,298201689511588322746983172228705711130
Terrapin #01455,Charcoal Full Moon,Hellfire,Dragon Wings - Black,Naked,Dopey - Vampire,Eyepatch - Tweeker,Assassins Cowl - Black,276057803069149199747955857810470237859
Terrapin #04464,Blue Grey,Geisha,Dragon Scale - Purple,Cloak - Brown,Moustache,Tweeker ,Red  with Horns,314686421204295226136319609380482949452
Terrapin #04098,Early Light,Black and Yellow,Dragon Wings - Green,Hawaiian Shirt - Watermelon,Dopey,Steam Punk - Tweeker,None,260046128383407845421830292489384405638
Terrapin #08667,Blue Grey,Luna,Base ,Cloak - Brown,Ehh,Cyborg - Bored,Mohawk - Black,99582227576231212107788289887741653297
Terrapin #01095,Burnt Orange,Common,Dragon Wings - Green,Cloak - Black,Subtle Smile,Monocle - Tweeker ,Spiky  - Brown,305444497791544121375088127253123961935
Terrapin #08868,Mint,Lion,Dragon Wings - Black,Assassins Cloak - Black,Bubblegum,Tweeker ,Cap - Luna,184425026097952449784912662595642317438
Terrapin #04798,Charcoal Full Moon,Hellfire,Scythe,Leather Jacket - Black,Vampire,Bored ,Bowler Hat,305830544559464243088118667361387371037
Terrapin #06986,Baby Blue,Common,Base ,Leather Jacket - Black,Bubblegum,Monocle - Tweeker ,Mohawk - Silver,325173049600672833943523752677632160232
Terrapin #04876,Purple,Common,Knight Sword - Brown,Naked,Vampire,Steam Punk - Tweeker,Ape Hat,266569599331036584139562499307299311866
Terrapin #01827,Blue Grey,Leopard Lion,Base ,Naked,Sad,Cyborg - Tweeker,Spiky  - Brown,220750034830352362760575926054631108450
Terrapin #07955,Baby Blue,Common,Base ,Naked,Grin,Closed ,Pizza,327028833600663954764764091211372153416
Terrapin #09531,Baby Yellow,Luna,Diamond Back,Cloak - Brown,Bubblegum,Cyborg - Angry Clown,Cap - ANC,282800156691849549913324172679734045858
Terrapin #04904,Blue Grey,Lion,Base ,Naked,Monster,Tweeker ,Bonnett,283196631201613502908486764062602762468
Terrapin #08142,Mint,Monochrome,Base ,Naked,Subtle Smile,Cyborg - Tweeker,Pirate Bandana,271541273187751078709152685515828333758
Terrapin #03554,Burnt Orange,Common,Steam Punk ,Naked,Dopey,Bored  - Shaved Brow,Fried Egg,264225365382427843635324137656699985574
Terrapin #06797,Blue Grey,Lion,Dragon Wings - Black,Naked,Grin,Tweeker ,Fried Egg,277706388957454988569245177433833402875
Terrapin #01941,Early Light,Black and Yellow,Armoured ,Naked,Dopey - Vampire,Tweeker ,Crown - Emerald,222461269658345872764656773100992008170
Terrapin #08901,Blue Grey,Luna,Base ,Naked,Ehh,Sunnies - Gun Metal,Crown - Sapphire,305997597164019787018516086286763406761
Terrapin #00992,Steel Blue,Teddy,Base ,Naked,Dopey - Vampire,Tweeker ,Bull Hat,86530350299284581236209240035437393734
Terrapin #01427,Purple,Luna,Base ,Naked,Sad,Tweeker ,Mohawk - Blue,152001262826581170204909407298943755040
Terrapin #09483,Blue Grey,Lion,Steam Punk ,Cloak - Blue,Dopey,Tweeker ,Crown - Emerald,210746696723585164440348814132023779204
Terrapin #08530,Mint,Common, Spikes,Cloak - Black,Vampire,Goggle Steam Punk - Black,Spiky  - Brown,27268552910924616805831569295627996508
Terrapin #09108,Early Light,Common,Base ,Naked,Snarl - Cigar,Cyborg - Bored,Terrorpin,185910823292496883697492278582818821870
Terrapin #04630,Blue Grey,Tiger Teddy,Base ,Naked,Scowl,Angry Tweeker ,Top Hat - black,139991652127339492594253999005069768553
Terrapin #01649,Midnight Blue - Big Moon,Luna,Base ,Naked,Bubblegum,Bored ,Top Hat - Steam Punk,320822028249722095331054432515392018400
Terrapin #06827,Steel Blue,Chocolate,Dragon Scale - Green,Naked,Dopey,Bored ,Lion Hat,95002075444033186306558358883321041542
Terrapin #01700,Charcoal Full Moon,Teddy,Base ,Suit and Tie,Snarl,Tweeker ,Crown - Emerald,238311793990545062534731228366897369333
Terrapin #07364,Lilac,Geisha,Dragon Wings - Red,Cloak - Brown,Licky Licky,Tweeker ,Spiky  - Brown,124264807009043806787811420213833350054
Terrapin #04659,Baby Blue,Black and Yellow,Base ,Cloak - Black,Snarl - Cigar,Goggle Steam Punk - Black,Angel Halo,96076287960156845399657001748311930202
Terrapin #09224,Burnt Orange,Chocolate,Scythe,Leather Jacket - Black,Snarl - Cigar,Cyborg - Angry Clown,Crown - Sapphire,58864206480082462739456251235192027061
Terrapin #00459,Steel Blue,Luna,Steam Punk ,Suit and Tie,Dopey,Tweeker ,Cap - Pylon,188030905720917044304221284552847586427
Terrapin #09430,Steel Blue,Teddy,Base ,Hawaiian Shirt - Pineapple,Grin,Sunnies - Gold,Crown - Ruby,176424861193060038564311212889958125195
Terrapin #02401,Mint,Common,Base ,Naked,Grin,Eyepatch - Angry,Cap - ANC,306214800278391723554498241078035310346
Terrapin #09534,Mint,Tiger Teddy,Dragon Scale - Green,Naked,Grin,Tweeker ,Basketball,233770835160869202206423267418162798519
Terrapin #09850,Early Light,Zebra,Base ,Cloak - Brown,Vampire,Steam Punk - Tweeker,Penguin Hat,29402820904293575480870761240180360667
Terrapin #09812,Steel Blue,Common,Base ,Naked,Dopey,Angry Tweeker ,Cheese Head,2261224804376191231059448201325543233
Terrapin #01238,Burnt Orange,Luna,Base ,Leather Jacket - Black,Ehh,Eyepatch - Angry,Devil Horns,277115115401401690788466926946767742953
Terrapin #07216,Steel Blue,Common, Spikes,Naked,Grin,Bored ,Rainbow Cap,156135379619822429153293690905553692290
Terrapin #04741,Blood Red - Big Moon,Lion,Knight Sword - Red,Leather Jacket - Black,Dopey,Goggle Steam Punk,Mohawk - Purple,223145658250549920604614141686261469004
Terrapin #03768,Charcoal Full Moon,Lion,Dragon Wings - Purple,Steam Punk Shirt - Red,Sad,Bored ,Crown - Emerald,222618379369449002503119133985726226395
Terrapin #05287,Purple,Lion,Base ,Naked,Grin,Sunnies - Gold,Spiky  - Black,129828831132184509431993462298592520563
Terrapin #07478,Steel Blue,Luna,Dragon Wings - Red,Cloak - Black,Grin,Eyepatch - Tweeker,Spiky  - Brown,159510164616640726108989965327376842273
Terrapin #03798,Blue Grey,Common,Base ,Naked,Ehh,Eyepatch - Bored,Ice Cream,98766318406160028167854549975213267014
Terrapin #06010,Mint,Geisha,Base ,Naked,Grin,Monocle - Tweeker ,Bonnett,228580315003515192827145306823787899751
Terrapin #06889,Neon Pink,Common,Knight Sword - Blue,Luna Jersey,Grin,Sunnies - Gun Metal,Penguin Hat,93664302089553428795690439466865292355
Terrapin #03184,Early Light,Leopard Unicorn,Base ,Naked,Subtle Smile,Bored ,Angel Halo,179259462319339867566976032191352800566
Terrapin #02570,Lilac,Common,Base ,Cloak - Black,Monster,Steam Punk - Angry Clown,Pirate Bandana,237553361619375970125788726493728489975
Terrapin #07302,Purple,Lion,Angel Wings,Steam Punk Shirt - Blue,Vampire,Steam Punk - Angry,None,295224598535672070358904466684152836932
Terrapin #07274,Mint,Common,Base ,Cloak - Blue,Grin - 5pm Shadow,Cyborg - Tweeker,Crown - Emerald,81396317735745669421438587783446042923
Terrapin #07399,Early Light,Black and Yellow, Spikes,Naked,Grin,Steam Punk - Angry Clown,None,147373127856192558899654680414359599282
Terrapin #00357,Midnight Blue - Big Moon,Zebra,Base ,Hawaiian Shirt - Watermelon,Scream,Cyborg - Closed Eye,Cap - Pylon,75276383891597837707360207646284672605
Terrapin #08851,Mint,Common,Knight Sword - Blue,Luna Jersey,Dopey,Tweeker ,Angel Halo,283878233632865042160213982957667344229
Terrapin #06565,Purple,Hellfire,Dragon Wings - Purple,Hawaiian Shirt - Watermelon,Sad,Tweeker ,Top Hat - black,51541092437844590715613932997842205949
Terrapin #04017,Purple,Lion,Base ,Naked,Scowl,Bored ,Top Hat - black,78079213910603996726534189402867709069
Terrapin #02466,Mint,Tiger Teddy,Knight Sword - Green,Naked,Grin - Cigar,Cyborg - Laser,Red  with Horns,233605803168292910036753159412278633301
Terrapin #01047,Early Light,Common,Turtle Katana,Naked,Scream,Closed ,Mohawk - Red,71734723673761063291354596972523159877
Terrapin #08756,Neon Pink,Common,Base ,Cloak - Blue,Dopey,Tweeker ,Red  with Horns,14132739695585810822410834710435683177
Terrapin #03258,Lilac,Luna,Dragon Wings - Green,Naked,Dopey - Vampire,Steam Punk - Angry,Bonnett,82484878453308680210734937703347087697
Terrapin #09824,Purple,Geisha,Scythe,Naked,Ehh,Tweeker ,Octopus,294298277940540277731411662343947295754
Terrapin #05352,Blue Grey,Common,Base ,Cloak - Black,Grin,Eyepatch - Bored,Angel Halo,48608592380169549809713723267160611797
Terrapin #06671,Mint,Luna,Armoured ,Naked,Ehh,Closed ,Mohawk - Green,243562863268690252626623543735206902980
Terrapin #06572,Baby Yellow,Black and Yellow,Dragon Wings - Black,Naked,Terrorpin,Tweeker ,None,105175700378434746575033442985497760792
Terrapin #06153,Blue Grey,Monochrome,Steam Punk ,Steam Punk Shirt - Red,Grin,Tweeker ,None,86723032855215524802721631033029365365
Terrapin #05749,Mint,Common, Spikes,Naked,Snarl,Steam Punk - Angry,Crown - Sapphire,9416834361504679459738890217636405601
Terrapin #04445,Blue Grey,Rainbow,Steam Punk ,Tuxedo,Scowl,Bored  - Shaved Brow,Mohawk - Red,210638707760770795784065043264329943692
Terrapin #06206,Charcoal Full Moon,Common, Spikes,Cloak - Black,Grin,Sunnies - Gold,Dragon Hat - Purple,259862141916644778761219703745275597521
Terrapin #01686,Steel Blue,Hellfire,Dragon Wings - Purple,Cloak - Brown,Grin,Bored ,Mohawk - Blue,215221206815201343081049725156710157916
Terrapin #02530,Steel Blue,Common,Knight Sword - Green,Cloak - Black,Ehh,Cyborg - Tweeker,Spiky  - Brown,80045926182223537588369234035208440501
Terrapin #05816,Mint,Luna,Knight Sword - Blue,Naked,Snarl,Bored ,None,114023802699005275448937079877275205753
Terrapin #03665,Blue Grey,Teddy,Base ,Naked,Subtle Smile,Tweeker ,Bowler Hat,201403020315952496598899963915242486135
Terrapin #03378,Charcoal - Big Moon,Geisha,Diamond Back,Hawaiian Shirt - Watermelon,Dopey,Cyborg - Angry,None,335771141815032649661876551901058656688
Terrapin #09653,Charcoal Full Moon,Common,Base ,Leather Jacket - Black,Grin - 5pm Shadow,Bored  - Shaved Brow,Spiky  - Black,184323217679395963019914168572095351343
Terrapin #00989,Blue Grey,Teddy, Spikes,Luna Jersey,Snarl - Nose Ring,Bored ,Cap - ANC,202623804387639357990906443001413866600
Terrapin #00884,Early Light,Leopard Unicorn,Base ,Steam Punk Shirt - Blue,Subtle Smile,Tweeker ,Top Hat - Steam Punk,294884870627818565968317343182716219232
Terrapin #08031,Mint,Common, Cannon,Luna Jersey,Bubblegum,Laser ,Devil Horns,254660161685212065937136634909005472292
Terrapin #00409,Mint,Lion,Base ,Cloak - Brown,Ehh,Angry Tweeker ,Bowler Hat,265738723590451414667518733154863179457
Terrapin #00724,Mint,Tiger Teddy,Knight Sword - Brown,Cloak - Blue,Terrorpin,Bored ,None,197823721986862917963351762858111351353
Terrapin #05953,Early Light,Leopard Lion,Knight Sword - Green,Naked,Dopey,Cyborg - Tweeker,Wizard Hat - Blue,285937122973808988801136234953046235384
Terrapin #09401,Midnight Blue - Big Moon,Hellfire,Knight Sword - Blue,Naked,Grin,Sunnies - Gold,Afro,19599638112316763313017728477059098893
Terrapin #04409,Baby Blue,Leopard Unicorn,Knight Sword - Red,Naked,Dopey,Monocle - Bored ,None,59334315503712463585013275565777120541
Terrapin #08903,Burnt Orange,Common,Dragon Scale - Green,Steam Punk Shirt - Blue,Dopey,Tweeker ,Wizard Hat - Blue,244809011514669919153213955149529941719
Terrapin #03912,Midnight Blue - Big Moon,Geisha,Base ,Cloak - Black,Licky Licky,Bored ,Crown - Emerald,135152768356035031977243865743421858422
Terrapin #08607,Baby Yellow,Lion,Dragon Scale - Green,Naked,Dopey,Bored ,Penguin Hat,238406294780234621287570227045304582291
Terrapin #02230,Mint,Common,Base ,Leather Jacket - Black and White,Snarl - Nose Ring,Monocle - Bored ,Mohawk - Black,279517600194778635314282129332699275003
Terrapin #03347,Early Light,Common,Base ,Tuxedo,Snarl - Cigar,Cyborg - Angry,Dragon Hat - Green,315571183754615946884725468945254501424
Terrapin #07944,Early Light,Black and Yellow,Base ,Hawaiian Shirt - Watermelon,Sad,Cyborg - Bored,Crown - Ruby,323278124639295783388258117255366242742
Terrapin #01008,Mint,Common,Dragon Scale - Purple,Naked,Beard,Steam Punk - Bored,Cap - Luna,15284907176396839065397201042599971768
Terrapin #05526,Purple,Dalmation,Base ,Hawaiian Shirt - Watermelon,Snarl - Cigar,Sunnies - Gun Metal,Rainbow Cap,278522977458064382582636968843470611243
Terrapin #03959,Baby Blue,Tiger Teddy,Armoured ,Naked,Snarl - Cigar,Steam Punk - Bored,None,260663193024224262198641521781403334639
Terrapin #02342,Purple,Common, Spikes,Naked,Dopey - Vampire,Tweeker ,Mop  Brown,123555431670353704758883749961280448321
Terrapin #06049,Mint,Leopard Unicorn,Dragon Scale - Purple,Naked,Licky Licky,Eyepatch - Bored,Crown - Sapphire,204983903364121552545574709871684947778
Terrapin #03425,Blue Grey,Leopard Unicorn,Knight Sword - Blue,Naked,Grin,Angry Tweeker ,Crown - Emerald,135656066704958110887408090372617908172
Terrapin #06190,Steel Blue,Luna,Base ,Cloak - Brown,Snarl - Nose Ring,Closed ,Ape Hat,331042691760323060750386190663243456687
Terrapin #06162,Burnt Orange,Common,Knight Sword - Red,Suit and Tie,Scowl,Cyborg - Angry Clown,Dragon Hat - Green,205419458546844615866255565443708572221
Terrapin #06584,Blood Red - Big Moon,Common,Knight Sword - Brown,Naked,Dopey,Monocle - Tweeker ,Cap - MIR,79013562333314072164198021028523357552
Terrapin #08133,Blue Grey,Common,Knight Sword - Red,Naked,Dopey,Bored ,Plague Mask,71835731109167753568867995313627258775
Terrapin #01388,Blood Red - Big Moon,Geisha,Base ,Naked,Moustache,Eyepatch - Bored,Mohawk - Silver,201905940593304180770071626034806243270
Terrapin #05790,Blue Grey,Monochrome,Base ,Naked,Snarl,Steam Punk - Tweeker,Basketball,113323662558969962503233437124765371226
